STATIC USAGE ANALYSIS - 33619 symbols
==================================================
 253.     50 "rustc_hir_analysis::check::wfcheck"
 254.     50 "rustc_mir_transform::gvn"
 255.     50 parse
 256.     50 "obligation"
 257.     50 fully_monomorphized
 258.     50 thir
 259.     50 "rustc_hir_typeck::expr_use_visitor"
 260.     49 and
 261.     49 size
 262.     49 span_to_snippet
 263.     48 bind
 264.     48 as_bytes
 265.     48 lo
 266.     47 has_name
 267.     47 non_body_analysis
 268.     47 with_code
 269.     47 rev
 270.     47 then_some
 271.     47 allows_unstable
 272.     46 build
 273.     46 map_or
 274.     46 "rustc_next_trait_solver::solve::eval_ctxt"
 275.     46 "rustc_codegen_ssa::back::link"
 276.     46 to_vec
 277.     46 flat_map
 278.     46 "rustc_mir_transform::known_panics_lint"
 279.     46 emit_warn
 280.     46 "rustc_infer::infer::lexical_region_resolve"
 281.     45 1
 282.     45 span_err
 283.     45 arg
 284.     44 "rustc_const_eval::const_eval::valtrees"
 285.     44 with
 286.     44 make_indirect
 287.     44 "rustc_mir_build::thir::cx::expr"
 288.     44 "rustc_hir_typeck::fallback"
 289.     44 replace
 290.     44 add_assign
 291.     43 expr
 292.     43 as_query_input
 293.     43 then
 294.     42 adt_def
 295.     42 repr
 296.     42 typing_env
 297.     42 "compiler/rustc_borrowck/src/diagnostics/conflict_errors.rs"
 298.     42 select_all_or_error
 299.     42 "rustc_trait_selection::traits"
 300.     42 type_at
 301.     42 span_delayed_bug
 302.     42 codegen_fn_attrs
 303.     42 "rustc_hir_typeck::upvar"
 304.     42 "rustc_hir_analysis::collect::predicates_of"
 305.     42 is_aggregate
 306.     41 visit_ty_unambig
 307.     41 "1.0.0"
 308.     41 ast
 309.     40 RangeTo
 310.     40 is_sized
 311.     40 extend_integer_width_to
 312.     40 "rustc_span::source_map"
 313.     40 link_args
 314.     40 run
 315.     40 "rustc_mir_transform::elaborate_drop"
 316.     40 lang_items
 317.     40 "rustc_borrowck::type_check::liveness::trace"
 318.     39 as_slice
 319.     39 from_vec
 320.     39 inline_size
 321.     39 "compiler/rustc_incremental/src/persist/fs.rs"
 322.     38 to
 323.     38 dep_context
 324.     38 "args"
 325.     38 "rustc_infer::infer::relate::generalize"
 326.     37 "'"
 327.     37 lowerer
 328.     37 borrow
 329.     37 span_suggestion_verbose
 330.     37 "compiler/rustc_hir_typeck/src/method/probe.rs"
 331.     37 from_bytes_unchecked
 332.     37 visit_with
 333.     36 "rustc_hir_typeck::writeback"
 334.     36 with_def_site_ctxt
 335.     36 "rustc_borrowck::type_check::relate_tys"
 336.     36 upcast
 337.     36 crate_name
 338.     36 "rustc_mir_build::builder::matches"
 339.     36 "rustc_mir_build::builder::custom::parse::instruction"
 340.     36 as_deref
 341.     36 split
 342.     36 find_map
 343.     36 "rustc_borrowck::diagnostics"
 344.     36 cloned
 345.     35 warn
 346.     35 visit_body
 347.     35 primitive
 348.     35 "compiler/rustc_ast_lowering/src/lib.rs"
 349.     35 "self_ty"
 350.     35 impl_trait_ref
 351.     35 "compiler/rustc_trait_selection/src/traits/select/candidate_assembly.rs"
 352.     35 "compiler/rustc_hir_typeck/src/fn_ctxt/_impl.rs"
 353.     35 zip
 354.     35 typeck_results
 355.     35 as_usize
 356.     35 emit_node_span_lint
 357.     35 unwrap_or_default
 358.     34 "compiler/rustc_hir_typeck/src/coercion.rs"
 359.     34 suggestion
 360.     34 "rustc_const_eval::interpret::call"
 361.     34 resolve_vars_if_possible
 362.     34 "rustc_metadata::rmeta::encoder"
 363.     34 span_bug
 364.     34 "rustc_mir_transform::coroutine"
 365.     34 retain
 366.     34 "rustc_hir_typeck::expr"
 367.     34 sess
 368.     34 span_note
 369.     34 "location"
 370.     34 field
 371.     34 first
 372.     33 visit_id
 373.     33 Trait
 374.     33 THREAD
 375.     33 "compiler/rustc_borrowck/src/type_check/mod.rs"
 376.     33 "compiler/rustc_mir_transform/src/jump_threading.rs"
 377.     33 "compiler/rustc_trait_selection/src/traits/project.rs"
 378.     33 "warn"
 379.     32 "rustc_borrowck::diagnostics::region_errors"
 380.     32 label
 381.     32 "rustc_data_structures::graph::scc"
 382.     32 "a"
 383.     32 "rustc_next_trait_solver::solve"
 384.     32 descr
 385.     32 subdiagnostic
 386.     32 "rustc_span::hygiene"
 387.     32 MAX
 388.     32 "rustc_metadata::locator"
 389.     32 "compiler/rustc_mir_transform/src/inline.rs"
 390.     32 references_error
 391.     32 "rustc_errors::emitter"
 392.     32 "rustc_ty_utils::needs_drop"
 393.     32 "compiler/rustc_borrowck/src/lib.rs"
 394.     32 "rustc_borrowck::universal_regions"
 395.     31 "compiler/rustc_hir_analysis/src/collect/resolve_bound_vars.rs"
 396.     31 local_parent
 397.     31 ends_with
 398.     31 "compiler/rustc_borrowck/src/places_conflict.rs"
 399.     31 emit_span_lint
 400.     31 position
 401.     31 DESCRIPTION
 402.     31 DEFAULT_LOCALE_RESOURCE
 403.     31 hir_crate_items
 404.     31 param_env
 405.     31 TITLE
 406.     31 args
 407.     30 associated_item
 408.     30 "rustc_infer::infer::outlives::obligations"
 409.     30 "rustc_ty_utils::opaque_types"
 410.     30 "rustc_passes::liveness"
 411.     30 meta_item_list
 412.     30 "compiler/rustc_monomorphize/src/collector.rs"
 413.     30 err_ctxt
 414.     30 "rustc_mir_transform::dataflow_const_prop"
 415.     30 "compiler/rustc_metadata/src/creader.rs"
 416.     30 "rustc_borrowck::diagnostics::explain_borrow"
 417.     30 "rustc_hir_typeck::method"
 418.     30 visit_ident
 419.     30 hi
 420.     30 new_error
 421.     30 "rustc_middle::mir::interpret"
 422.     30 "compiler/rustc_trait_selection/src/traits/select/confirmation.rs"
 423.     29 ctxt
 424.     29 expr_path
 425.     29 mk_args
 426.     29 contains_key
 427.     29 from_str
 428.     29 Clause
 429.     29 "compiler/rustc_hir_typeck/src/closure.rs"
 430.     29 items
 431.     29 with_hi
 432.     29 bitor_assign
 433.     29 i32
 434.     29 "b"
 435.     28 try_new
 436.     28 "compiler/rustc_hir_analysis/src/check/compare_impl_item.rs"
 437.     28 from_bytes
 438.     28 new_empty
 439.     28 "rustc_trait_selection::traits::fulfill"
 440.     28 "value"
 441.     28 "rustc_resolve::diagnostics"
 442.     28 flatten
 443.     28 into_inner
 444.     28 2
 445.     28 "rustc_type_ir::search_graph"
 446.     28 "rustc_trait_selection::traits::wf"
 447.     28 finish
 448.     28 "rustc_mir_transform::shim"
 449.     28 push_span_label
 450.     28 write_str
 451.     28 new_imm_ptr
 452.     27 borrow_mut
 453.     27 with_lo
 454.     27 register_obligation
 455.     27 "."
 456.     27 instantiate_bound_regions_with_erased
 457.     27 as_coroutine_closure
 458.     27 i64
 459.     26 "rustc_infer::infer::region_constraints"
 460.     26 next_cp
 461.     26 with_source_info
 462.     26 "rustc_middle::ty::instance"
 463.     26 CFI
 464.     26 "rustc_const_eval::interpret::eval_context"
 465.     26 "rustc_const_eval::interpret::step"
 466.     26 variant
 467.     26 "rustc_mir_dataflow::move_paths::builder"
 468.     26 tupled_upvars_ty
 469.     26 from_parts
 470.     26 "name"
 471.     26 new_mut_ptr
 472.     26 44839
 473.     26 "rustc_mir_transform::dest_prop"
 474.     26 Tag
 475.     25 "compiler/rustc_trait_selection/src/error_reporting/traits/suggestions.rs"
 476.     25 "compiler/rustc_hir_analysis/src/check/wfcheck.rs"
 477.     25 hash_stable
 478.     25 outermost
 479.     25 enabled
 480.     25 misc
 481.     25 "compiler/rustc_mir_transform/src/gvn.rs"
 482.     25 rebind
 483.     25 basic_blocks_mut
 484.     25 "compiler/rustc_hir_typeck/src/expr_use_visitor.rs"
 485.     25 debug_strict_add
 486.     25 defaultness
 487.     25 has_attr
 488.     25 fold_with
 489.     24 "rustc_const_eval::const_eval::eval_queries"
 490.     24 "rustc_parse::parser::diagnostics"
 491.     24 "rustc_mir_transform::inline::cycle"
 492.     24 "rustc_expand::mbe::macro_rules"
 493.     24 "rustc_query_system::dep_graph::graph"
 494.     24 "rustc_trait_selection::traits::coherence"
 495.     24 Projection
 496.     24 "rustc_trait_selection::traits::normalize"
 497.     24 "rustc_mir_transform::elaborate_drops"
 498.     24 "rustc_codegen_ssa::back::linker"
 499.     24 "rustc_borrowck::diagnostics::var_name"
 500.     24 "-"
 501.     24 "rustc_mir_transform::ref_prop"
 502.     24 is_enum
 503.     24 "rustc_borrowck::renumber"
 504.     24 peek
 505.     24 "rustc_trait_selection::traits::dyn_compatibility"
 506.     24 "rustc_borrowck::type_check::free_region_relations"
 507.     24 "rustc_borrowck::type_check::canonical"
 508.     24 custom_derive
 509.     24 sub
 510.     24 set
 511.     24 map_bound
 512.     24 "rustc_hir_analysis::errors::wrong_number_of_generic_args"
 513.     24 "rustc_trait_selection::traits::specialize::specialization_graph"
 514.     24 "rustc_hir_typeck::pat"
 515.     24 "rustc_borrowck::diagnostics::region_name"
 516.     23 from_inner
 517.     23 as_coroutine
 518.     23 hir_expect_item
 519.     23 typeck
 520.     23 "compiler/rustc_codegen_ssa/src/back/link.rs"
 521.     23 "compiler/rustc_mir_transform/src/known_panics_lint.rs"
 522.     23 "place"
 523.     23 "path"
 524.     23 "compiler/rustc_infer/src/infer/lexical_region_resolve/mod.rs"
 525.     23 std_path
 526.     23 for_each
 527.     23 "compiler/rustc_next_trait_solver/src/solve/eval_ctxt/mod.rs"
 528.     23 lt
 529.     22 to_str
 530.     22 "rustc_hir_typeck::fn_ctxt::suggestions"
 531.     22 "rustc_middle::ty::print::pretty"
 532.     22 3
 533.     22 "rustc_resolve::ident"
 534.     22 staged_api
 535.     22 "rustc_lint::lifetime_syntax"
 536.     22 "rustc_trait_selection::traits::auto_trait"
 537.     22 128
 538.     22 crates
 539.     22 "compiler/rustc_const_eval/src/const_eval/valtrees.rs"
 540.     22 emit_note
 541.     22 has_escaping_bound_vars
 542.     22 LEAK
 543.     22 target_spec
 544.     22 Type
 545.     22 expr_str
 546.     22 gt
 547.     22 liberate_late_bound_regions
 548.     22 "rustc_hir_analysis::outlives::implicit_infer"
 549.     22 append
 550.     22 at
 551.     22 "compiler/rustc_mir_build/src/thir/cx/expr.rs"
 552.     22 "rustc_hir_typeck::method::confirm"
 553.     22 "rustc_trait_selection::error_reporting::infer::region"
 554.     22 delayed_bug
 555.     22 try_into
 556.     22 explicit_predicates_of
 557.     22 "compiler/rustc_hir_typeck/src/fallback.rs"
 558.     21 remove
 559.     21 new_with_diagnostics
 560.     21 sort_by_key
