DefId,Syn_Count,Hir_Count,Def_Count,Total_Count
tracing[3c75]::span::{impl#0}::entered,12,22,593,627
core[4720]::option::{impl#0}::unwrap_or,6,27,579,612
rustc_lint[ad2f]::context::{impl#5}::typeck_results,1,0,604,605
core[4720]::str::{impl#0}::len,11,0,546,557
alloc[27b0]::vec::{impl#2}::extend_from_slice,3,0,532,535
core[4720]::result::{impl#0}::map,57,2,469,528
proc_macro2[7ed2]::Delimiter::Bracket::{constructor#0},8,0,520,528
core[4720]::ops::bit::BitOr::bitor,1,0,524,525
core[4720]::str::{impl#0}::parse,4,0,518,522
rustc_errors[740a]::codes::{impl#1}::from_u32,0,0,517,517
core[4720]::iter::traits::iterator::Iterator::any,0,24,477,501
